name;measure;value_2020;value_2021;value_2022;value_2023;rank_2020;rank_2021;rank_2022;rank_2023;matrix_class_2020;matrix_class_2021;matrix_class_2022;matrix_class_2023
Investor;assets_m;0.0;0.0;87892.0;0.0;0.0;0.0;270.0;0.0;na_class;na_class;"]90% ; 100%]";na_class
Investor;employees;0.0;0.0;14812.0;0.0;0.0;0.0;460.0;0.0;na_class;na_class;"]90% ; 100%]";na_class
Investor;profits_m;0.0;0.0;26585.0;0.0;0.0;0.0;18.0;0.0;na_class;na_class;"]20% ; 30%]";na_class
Investor;revenues_m;0.0;0.0;30948.0;0.0;0.0;0.0;461.0;0.0;na_class;na_class;"]90% ; 100%]";na_class
Itaú Unibanco Holding;assets_m;407131.0;388789.0;371471.0;439546.0;74.0;82.0;87.0;67.0;"]60% ; 70%]";"]70% ; 80%]";"]70% ; 80%]";"]60% ; 70%]"
Itaú Unibanco Holding;employees;94881.0;96540.0;99598.0;101094.0;251.0;240.0;232.0;229.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
Itaú Unibanco Holding;profits_m;6875.0;3667.0;4963.0;5755.0;80.0;141.0;182.0;139.0;"]60% ; 70%]";"]70% ; 80%]";"]80% ; 90%]";"]70% ; 80%]"
Itaú Unibanco Holding;revenues_m;51728.0;37280.0;41175.0;63884.0;216.0;322.0;333.0;206.0;"]60% ; 70%]";"]80% ; 90%]";"]80% ; 90%]";"]60% ; 70%]"
Itochu;assets_m;101042.0;101071.0;100104.0;98777.0;232.0;240.0;247.0;229.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Itochu;employees;151430.0;148887.0;136722.0;133051.0;141.0;144.0;162.0;163.0;"]60% ; 70%]";"]60% ; 70%]";"]60% ; 70%]";"]60% ; 70%]"
Itochu;profits_m;4611.0;3787.0;7302.0;5914.0;124.0;135.0;119.0;135.0;"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]"
Itochu;revenues_m;100522.0;97753.0;109434.0;103029.0;72.0;71.0;78.0;96.0;"]30% ; 40%]";"]30% ; 40%]";"]40% ; 50%]";"]40% ; 50%]"
J. Sainsbury;assets_m;34667.0;34703.0;35389.0;32347.0;416.0;426.0;421.0;426.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
J. Sainsbury;employees;111900.0;117000.0;117000.0;107000.0;205.0;193.0;196.0;211.0;"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]"
J. Sainsbury;profits_m;193.0;-366.0;925.0;249.0;412.0;436.0;371.0;426.0;"]90% ; 100%]";<=0;"]90% ; 100%]";"]90% ; 100%]"
